// MapNames Localized

// These are the (possibly localized, although some probably won't be) map names that will be displayed in the Load/Save UI's

// The Left column is the real map name (SHOULD NOT BE CHANGED!), the right column is the displayed name.


MapNames
{
//"zoo_discipline"	"Zoo (Discipline)"


	"autosave"				"Auto Save"
	"la_bradbury_1"			"LA (Hallowbrook atrium)"		// added by wesp
	"la_bradbury_2"			"LA (Hallowbrook interier)"
	"la_bradbury_3"			"LA (Hallowbrook vestibul)"
	"la_chantry_1"			"LA (tremerska loze)"
	"la_confession_1"			"LA (Zpovednice)"
	"la_crackhouse_1"			"LA (koksovy doupe)"
	"la_dane_1"				"Elizabeth Dane"
	"la_empire_1"			"LA (hotel Empire vestibul)"
	"la_empire_2"			"LA (hotel Empire 6. podlazi)"
	"la_empire_3"			"LA (hotel Empire 5. podlazi)"
	"la_expipe_1"			"LA (Posledni runda)"	//(Expipe_1)?
	"la_hospital_1"			"LA (nemocnice)"
	"la_hub_1"				"LA (ulice)"
	"la_library_1"			"LA (verejna knihovna)"		// added by wesp
	"la_malkavian_1"			"Groutova vila exterier"
	"la_malkavian_2"			"Groutova vila 1"
	"la_malkavian_3"			"Groutova vila 2"
	"la_malkavian_3b"		"Groutova vila (bludiste)"		// added by wesp
	"la_malkavian_4"			"Groutova vila 3"
	"la_malkavian_5"			"Groutova vila exterier"
	"la_museum_1"			"LA (Muzeum)"
	"la_parkinggarage_1"		"LA (podzemni garaz)"
	"la_PlagueBearer_Sewer_1"	"LA (morova stoka)"
	"la_sewer_1"			"LA (kanal)"
	"la_skyline_1"			"LA (vezak Skyeline)"
	"la_ventruetower_1"		"LA (vez Venture vestibul)"
	"la_ventrueTower_1b"		"LA (vez Venture vestibul)"
	"la_ventruetower_2"		"LA (vez Venture Interier)"
	"la_ventruetower_3"		"LA (vez Venture strecha)"
	"sm_apartment_1"			"SM (U Mercuria)"
	"sm_asylum_1"			"SM (Azyl)"
	"sm_bailbonds_1"			"SM (Jistiny)"
	"sm_basement_1"			"SM (sklep)"
	"sm_beachhouse_1"			"SM (dum na plazi)"
	"sm_coffee_1"			"SM (C. Moorova kava)"	// added by wesp
	"sm_diner_1"			"SM (jidelna)"
	"sm_embrace_1"			"SM"
	"sm_gallery_1"			"SM (galerie)"
	"sm_gallery_1_particle_test"	"SM (galerie)"
	"sm_hub_1"				"SM (ulice 1)"
	"sm_hub_2"				"SM (ulice 2)"
	"sm_junkyard_1"			"SM (vrakoviste)"
	"sm_medical_1"			"SM (poliklinika)"
	"sm_oceanhouse_1"			"SM (Ocean House exterier)"
	"sm_oceanhouse_2"			"SM (Ocean House interier)"
	"sm_pawnshop_1"			"SM (zastavarna)"
	"sm_pawnshop_2"			"Santa Monica (u Tripa)"
	"sm_pier_1"				"SM (promenada)"
	"sm_sewer_1"			"SM (kanal)"
	"sm_shreknet_1"			"SM (Schrecknet)"
	"sm_smoke_1"			"SM (obchod s kurivem)"		// added by wesp
	"sm_tattoo"				"SM (tetovaci salon)"
	"sm_vamparena"			"SM (Sexy bedny)"
	"sm_warehouse_1"			"SM (sklad)"
	"sp_boat"				"Specialni (lod)"
	"sp_camwarehouse"			"Specialni (nataceci studio)"
	"sp_epilogue"			"Specialni (Epilog)"
	"sp_genesisdevice_1"		"Specialni (Genesis)"
	"sp_giovanni_1"			"Specialni (Giovanni exterier)"
	"sp_giovanni_2a"			"Specialni (Giovanni interier)"
	"sp_giovanni_2b"			"Specialni (Giovanni interier)"
	"sp_giovanni_3"			"Specialni (Giovanni suteren)"
	"sp_giovanni_4"			"Specialni (Giovanni katakomby)"
	"sp_giovanni_5"			"Specialni (Giovanni krypta)"
	"sp_lonewolf_1"			"Specialni (osamely vlk)"
	"sp_masquerade_1"			"Specialni (maskarada)"
	"sp_ninesintro"			"Specialni (Nines)"
	"sp_observatory_1"		"Specialni (Griffinuv park parkoviste)"
	"sp_observatory_2"		"Specialni (Griffinuv park hvezdarna)"
	"sp_smut"				"Specialni (prasarny)"
	"sp_soc_1"				"Leopoldova spolecnost exterier"
	"sp_soc_2"				"Leopoldova spolecnost interier"
	"sp_soc_3"				"Leopoldova spolecnost podzemi"
	"sp_soc_4"				"Leopoldova spolecnost jeskyne"
	"sp_taxiride"			"Specialni (taxik)"
	"sp_theatre"			"Specialni (divadlo)"
	"sp_tutorial_1"			"Specialni (Tutorial)"
	"sp_endsequences_a"		"Special (zaverecna sekvence)"
	"sp_endsequences_b"		"Special (zaverecna sekvence)"
}
